Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,Month,Sum of Amount(INR),Count of Order ID
Month,Count of Order ID,Sum of Gross sales,,,,,,,,,Category,Count of Order ID,Sum of Amount(INR),,,March,1928066,2819
January,2702,1724598,,,,,,,,,Cancelled,844,481844,,,Cancelled,49981,83
February,2750,1754073,,,,,,,,,Delivered,28641,19710544,,,Delivered,1825897,2653
March,2819,1825897,,,,,,,,,Refunded,517,264842,,,Refunded,9076,22
April,2685,1718065,,,,,,,,,Returned,1045,719147,,,Returned,43112,61
May,2617,1694325,,,,,,,,,Grand Total,31047,21176377,,,Grand Total,1928066,2819
June,2597,1622338,,,,,,,,,,,,,,,,
July,2579,1640566,,,,,,,,,,,,,,,,
August,2617,1684916,,,,,,,,,,,,,,,,
September,2490,1585016,,,,,,,,,,,,,,,,
October,2424,1513971,,,,,,,,,,,,,,,,
November,2383,1462714,,,,,,,,,,,,,,,,
December,2384,1484065,,,,,,,,,,,,,,,,
Grand Total,31047,19710544,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
B2B,Sum of Amount(INR),Count of Order ID,,,,,,,,,,,,,,,,
FALSE,21050056,30861,,,,,,,,,,,,,,,,
TRUE,126321,186,,,,,,,,,,,,,,,,
Grand Total,21176377,31047,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gender,Count of Order ID,,,,,,,,,,,,,,,,,
Men,9494,,,,,,,,,,,,,,,,,
Women,21553,,,,,,,,,,,,,,,,,
Grand Total,31047,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Order Status,Count of Order ID,,,,,,,,,,,,,,,,,
Delivered,28641,,,,,,,,,,,,,,,,,
Returned,1045,,,,,,,,,,,,,,,,,
Cancelled,844,,,,,,,,,,,,,,,,,
Refunded,517,,,,,,,,,,,,,,,,,
Grand Total,31047,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ship-State,Sum of Amount(INR),,,,,,,,,,,,,,,,,
MAHARASHTRA,2990221,,,,,,,,,,,,,,,,,
KARNATAKA,2646358,,,,,,,,,,,,,,,,,
UTTAR PRADESH,2104659,,,,,,,,,,,,,,,,,
TELANGANA,1712439,,,,,,,,,,,,,,,,,
TAMIL NADU,1678877,,,,,,,,,,,,,,,,,
DELHI,1266328,,,,,,,,,,,,,,,,,
KERALA,1008940,,,,,,,,,,,,,,,,,
WEST BENGAL,922444,,,,,,,,,,,,,,,,,
ANDHRA PRADESH,918499,,,,,,,,,,,,,,,,,
HARYANA,813320,,,,,,,,,,,,,,,,,
Grand Total,16062085,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Count of Order ID,Column Labels,,,,,,,,,,,,,,,,,
Age,Men,Women,Grand Total,,,,,,,,,,,,,,,
Young Adult,3800,8794,12594,,,,,,,,,,,,,,,
Middle Age,3791,8356,12147,,,,,,,,,,,,,,,
Old Age,1475,3369,4844,,,,,,,,,,,,,,,
Teenager,428,1034,1462,,,,,,,,,,,,,,,
Grand Total,9494,21553,31047,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Channel,Sum of Amount(INR),,,,,,,,,,,,,,,,,
Amazon,7519933,,,,,,,,,,,,,,,,,
Myntra,4941540,,,,,,,,,,,,,,,,,
Flipkart,4573301,,,,,,,,,,,,,,,,,
Ajio,1331427,,,,,,,,,,,,,,,,,
Nalli,1015329,,,,,,,,,,,,,,,,,
Meesho,927606,,,,,,,,,,,,,,,,,
Others,867241,,,,,,,,,,,,,,,,,
Grand Total,21176377,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Category,Sum of Amount(INR),,,,,,,,,,,,,,,,,
Set,10507546,,,,,,,,,,,,,,,,,
kurta,4959377,,,,,,,,,,,,,,,,,
Western Dress,3148836,,,,,,,,,,,,,,,,,
Top,1186199,,,,,,,,,,,,,,,,,
Saree,1010471,,,,,,,,,,,,,,,,,
Ethnic Dress,195256,,,,,,,,,,,,,,,,,
Blouse,140888,,,,,,,,,,,,,,,,,
Bottom,27804,,,,,,,,,,,,,,,,,
Grand Total,21176377,,,,,,,,,,,,,,,,,
